loss,mape,val_loss,val_mape,lr
0.22013884782791138,1382.74365234375,0.043784912675619125,644.6878662109375,0.01
0.043998755514621735,625.1454467773438,0.0019203746924176812,97.9352798461914,0.01
0.001937829190865159,97.56578826904297,0.0019194080960005522,97.89944458007812,0.01
0.0019362869206815958,97.5154800415039,0.001918368274345994,97.8608627319336,0.01
0.0019350782968103886,97.47396850585938,0.0019172540633007884,97.81954193115234,0.01
0.0019315473036840558,97.3279037475586,0.00191601668484509,97.77361297607422,0.01
0.001930750790052116,97.34017181396484,0.0019146930426359177,97.72445678710938,0.01
0.0019287255126982927,97.24900817871094,0.0019132638117298484,97.67139434814453,0.01
0.0019294550875201821,97.3156509399414,0.0019117537885904312,97.61526489257812,0.01
0.0019245839212089777,97.15379333496094,0.0019100436475127935,97.55167388916016,0.01
0.0019239787943661213,97.11312866210938,0.001908211619593203,97.48353576660156,0.01
0.001923173782415688,97.02477264404297,0.001906253513880074,97.41063690185547,0.01
0.0019215199863538146,96.95977020263672,0.0019041098421439528,97.33080291748047,0.01
0.0019182650139555335,96.84815979003906,0.0019017386948689818,97.242431640625,0.01
0.001917470945045352,96.85415649414062,0.0018991657998412848,97.14646911621094,0.01
0.0019145412370562553,96.70144653320312,0.0018963136244565248,97.03997802734375,0.01
0.0019088371191173792,96.56324005126953,0.001893098233267665,96.91983032226562,0.01
0.001905368990264833,96.38661193847656,0.0018895069370046258,96.78548431396484,0.01
0.0019015469588339329,96.28598022460938,0.001885507139377296,96.63568878173828,0.01
0.0018968988442793489,96.1070556640625,0.0018809664761647582,96.46540069580078,0.01
0.001891029765829444,95.98699188232422,0.001875782385468483,96.27069854736328,0.01
0.001883618999272585,95.67157745361328,0.0018697883933782578,96.045166015625,0.01
0.0018772754119709134,95.39676666259766,0.0018628649413585663,95.78411102294922,0.01
0.0018698929343372583,95.08644104003906,0.0018548595253378153,95.4815444946289,0.01
0.0018630566773936152,94.8445053100586,0.001845565508119762,95.12931823730469,0.01
0.0018486951012164354,94.27046966552734,0.001834249240346253,94.69901275634766,0.01
0.0018381348345428705,93.8311538696289,0.0018207695102319121,94.18433380126953,0.01
0.0018235506722703576,93.35589599609375,0.0018043136224150658,93.5529556274414,0.01
0.0018022570293396711,92.43025970458984,0.0017835338367149234,92.75071716308594,0.01
0.001783865736797452,91.96746826171875,0.0017573803197592497,91.73300170898438,0.01
0.0017541981069371104,90.52233123779297,0.0017230786615982652,90.38426208496094,0.01
0.0017155116656795144,89.1447982788086,0.0016766083426773548,88.5308837890625,0.01
0.0016704350709915161,87.27469635009766,0.0016122334636747837,85.91094207763672,0.01
0.001587957376614213,84.02015686035156,0.0015160728944465518,81.87469482421875,0.01
0.0015049688518047333,79.9972915649414,0.001373394625261426,75.57952880859375,0.01
0.0013393759727478027,73.63923645019531,0.0011452732142060995,64.5713119506836,0.01
0.0011261480394750834,65.03107452392578,0.0008182410383597016,48.1721305847168,0.01
0.0008408547728322446,52.89384460449219,0.00046446677879430354,36.69328689575195,0.01
0.0006203584489412606,48.278358459472656,0.0003641619987320155,38.27443313598633,0.01
0.0006412315997295082,53.89683532714844,0.000435668567661196,36.861576080322266,0.01
0.0006161382189020514,49.725563049316406,0.000365233892807737,38.23658752441406,0.01
0.0006300948443822563,53.215965270996094,0.0004335255944170058,36.8883056640625,0.01
0.000585946487262845,47.797821044921875,0.0003571028355509043,38.53582000732422,0.01
0.0006253242609091103,52.707603454589844,0.00045460357796400785,36.706417083740234,0.01
0.0005855674971826375,47.89230728149414,0.0003316690563224256,40.066062927246094,0.01
0.0005840227240696549,52.88957595825195,0.0004438065516296774,36.76323318481445,0.01
0.0006014172686263919,48.76505661010742,0.00033098089625127614,40.137332916259766,0.01
0.000598809274379164,53.3482666015625,0.0004663749423343688,36.691490173339844,0.01
0.0006072690594010055,47.898231506347656,0.00031512329587712884,42.058677673339844,0.01
0.0005415993509814143,51.34975051879883,0.000425740669015795,36.98670959472656,0.01
0.0006032966775819659,49.265193939208984,0.00033653012360446155,39.58742904663086,0.01
0.0005779152852483094,51.0433464050293,0.00041379008325748146,37.14330291748047,0.01
0.0005643333424814045,48.37643814086914,0.00032718872535042465,40.54195785522461,0.01
0.0005493029020726681,50.79474639892578,0.0004501162620726973,36.7122917175293,0.01
0.0005820675287395716,46.93312454223633,0.0003008625644724816,45.25105285644531,0.01
0.0005976356333121657,56.63993835449219,0.0006487893406301737,41.703800201416016,0.01
0.0007110196747817099,48.26549530029297,0.0003014366375282407,44.99935531616211,0.01
0.0005350685096345842,52.91300582885742,0.0005410593003034592,37.9454345703125,0.01
0.0006254889885894954,46.99287033081055,0.0002996359544340521,46.08951187133789,0.01
0.0005866195424459875,56.86823654174805,0.0006115565774962306,40.45692825317383,0.01
0.000687943072989583,47.40623092651367,0.00030144088668748736,44.99555587768555,0.01
0.0005383234238252044,54.47507858276367,0.0005147228948771954,37.20222091674805,0.01
0.0005837124190293252,45.80183410644531,0.0002993714006152004,46.6449089050293,0.01
0.0005536623066291213,56.3320426940918,0.0005755209131166339,39.17708969116211,0.01
0.0006452056113630533,46.11613082885742,0.0002995719842147082,46.163272857666016,0.01
0.0005742842913605273,55.91992950439453,0.0005755940801464021,39.17966079711914,0.01
0.0006158672622404993,44.78595733642578,0.00029936296050436795,46.85761260986328,0.01
0.0005310533451847732,54.4583740234375,0.0005337523762136698,37.67432403564453,0.01
0.000587045622523874,44.265419006347656,0.0003003677411470562,48.0661735534668,0.01
0.0005414950428530574,54.78077697753906,0.00030752000748179853,43.347286224365234,0.0019999999
